,face_id,file_id,x,y,w,h,ex,ey,ra,rb,theta,Female,Glasses,Occluded,Age,Trustworthiness,Dominance,IQ,upsidedown,BW,Roll,Pitch,Yaw,Trustworthiness_raw,Dominance_raw,Age_raw,IQ_raw,Trustworthiness_num,Dominance_num,Age_num,IQ_num,split
14066,54208,image64707.jpg,533.0,166.0,218.0,218.0,684.2201538090001,266.309356689,129.42199707,91.847869873,-1.2654992342,1.0,0.0,0.0,,0.3879780000000001,0.42029,4.357142857,0.0,0.0,-0.16050674021244002,0.25812491774559,0.8659455776214598,"[4, 3, 3, 1, 5, 5, 3, 3, 2, 4, 4, 6, 1, 2, 3, 4, 6, 1, 4, 5, 4, 2, 4, 3, 3, 4, 3, 5, 5, 2, 2, 6, 4, 2, 4, 4, 2, 4, 2, 3, 1, 1, 6, 1, 4, 4, 4, 2, 2, 4, 5, 3, 4, 4, 3, 4, 3, 3, 2, 4, 2]","[3, 3, 4, 1, 5, 2, 5, 5, 2, 5, 2, 7, 3, 1, 1, 2, 3, 5, 4, 2, 3, 1, 3, 2, 6, 2, 3, 3, 4, 6, 5, 4, 6, 2, 2, 4, 3, 3, 5, 3, 3, 3, 2, 3, 6, 5, 3, 3, 4, 1, 3, 1, 3, 4, 3, 4, 7, 5, 3, 2, 4, 3, 4, 6, 5, 5, 2, 6, 5]","[2, 4, 4, 4, 3, 4, 3, 5, 4, 2, 4, 4, 4, 3, 4, 4, 3, 4, 2, 4, 2, 3]","[5, 5, 7, 2, 5, 3, 5, 5, 4, 4, 4, 4, 3, 5]",61,69,22,14,train
18594,59106,image14285.jpg,62.0,118.0,177.0,177.0,143.227005005,180.776672363,101.231788635,71.8419113159,1.36730325222,1.0,1.0,0.0,3.882352941,0.526042,0.525641,,0.0,0.0,0.24543575942516305,-0.135859414935112,-0.20983271300792705,"[5, 5, 5, 4, 6, 3, 2, 4, 1, 1, 4, 3, 6, 5, 3, 5, 4, 5, 3, 3, 4, 2, 3, 7, 1, 6, 4, 5, 3, 5, 4, 3, 5, 5, 5, 4, 7, 5, 6, 6]","[3, 5, 3, 3, 5, 5, 3, 5, 2, 2, 3, 4, 7, 6, 4, 5, 1, 3, 3, 3, 4, 3, 1, 1, 3, 4, 4, 3, 3, 5]","[3, 4, 3, 3, 3, 3, 3, 4, 7, 5, 3, 5, 4, 4, 4, 4, 4]","[6, 4, 4, 4, 4, 5, 3, 4, 3, 5, 4, 5, 5]",40,30,17,13,train
15212,55414,image00838.jpg,152.0,43.0,65.0,65.0,178.57749939,67.7587203979,38.3807106018,27.237922668499998,1.53682088852,1.0,0.0,0.0,3.307692308,0.342105,0.391304,3.631578947,0.0,0.0,0.19845126569271104,-0.31518515944480896,-0.39880990982055703,"[1, 3, 1, 2, 4, 5, 4, 7, 2, 4, 4, 4, 3, 2, 3, 5, 6, 1, 2, 2, 3, 5, 3, 1, 2, 1, 1, 6, 2, 3, 3, 2, 2, 3, 1, 4, 4, 3, 4, 3]","[2, 2, 7, 4, 4, 3, 5, 3, 3, 2, 1, 7, 6, 3, 3, 4, 5, 6, 4, 4, 4, 4, 4, 5, 4, 4, 4, 3, 3, 4, 1, 3, 3, 3, 4, 5, 3]","[3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 5, 3]","[4, 4, 3, 6, 4, 3, 5, 2, 2, 4, 4, 2, 4, 4, 2, 4, 2, 6, 4]",40,37,13,19,train
15266,55473,image00962.jpg,152.0,72.0,193.0,193.0,245.68737793,145.290420532,109.14889526399999,77.4605102539,1.5551725626,1.0,0.0,0.0,3.538461538,0.364444,0.336022,3.866666667,0.0,0.0,0.0288631673902273,-0.33174630999565097,-0.0750444754958153,"[1, 1, 1, 4, 4, 4, 6, 1, 1, 4, 1, 2, 1, 4, 2, 5, 5, 3, 1, 5, 5, 1, 1, 1, 1, 4, 1, 5, 6, 3, 4, 5, 5, 5, 4, 1, 2, 5, 2, 2, 3, 4, 1, 6, 1, 3, 4, 1, 1, 1, 5, 4, 2, 6, 3, 2, 7, 3, 4, 2, 7, 7, 4, 3, 2, 2, 3, 5, 5, 5, 4, 2, 1, 2, 5]","[4, 5, 3, 1, 1, 5, 4, 1, 5, 4, 1, 3, 1, 2, 5, 3, 1, 4, 3, 4, 4, 1, 6, 2, 1, 2, 4, 2, 1, 7, 1, 7, 2, 4, 1, 3, 1, 4, 5, 2, 3, 3, 2, 1, 3, 3, 3, 4, 3, 6, 5, 3, 5, 4, 4, 2, 1, 3, 3, 2, 3, 3, 2]","[4, 3, 3, 3, 3, 3, 5, 4, 4, 2, 4, 3, 5]","[1, 4, 4, 3, 6, 5, 5, 3, 2, 4, 4, 3, 3, 5, 6]",75,63,13,15,train
16955,57286,image08042.jpg,168.0,110.0,92.0,92.0,224.236328125,142.747238159,54.5442237854,38.7088050842,-1.46491968632,1.0,0.0,0.0,3.5333333330000003,0.516667,0.361111,3.444444444,0.0,0.0,-0.18154916167259197,-0.45112404227256797,0.321221113204956,"[2, 5, 2, 4, 5, 6, 5, 5, 3, 4, 1, 6, 4, 3, 3, 6, 5, 5, 1, 3, 4, 4, 4, 4, 2, 5, 2, 5, 3, 2, 2, 4]","[4, 4, 4, 3, 2, 3, 5, 5, 4, 3, 1, 7, 3, 5, 6, 3, 6, 2, 6, 5]","[3, 4, 3, 4, 3, 3, 4, 5, 3, 3, 4, 4, 4, 3, 3]","[3, 4, 3, 4, 4, 4, 4, 2, 3]",32,20,15,9,train
13660,53790,image59327.jpg,15.0,313.0,473.0,473.0,339.19964599599996,505.66888427699996,269.641174316,191.358261108,1.50176525116,0.0,0.0,0.0,,,,,0.0,0.0,0.202795594930649,0.106950871646404,0.8720123171806341,"[2, 3, 4, 6, 4, 4, 4, 5, 5, 4, 4, 3, 7, 6, 3, 1, 2, 4, 2, 3, 4, 5, 3, 5, 6, 4, 6, 4, 4, 3, 4, 3, 5, 1, 4]","[2, 3, 4, 5, 6, 3, 5, 5, 4, 4, 2, 7, 4, 6, 1, 5, 4, 4, 4, 2, 4, 5, 2, 5, 5, 3, 5, 4, 3, 5, 4]","[2, 2, 3, 3, 3, 3, 3, 2, 2]","[5, 7, 5, 6, 6, 4, 6, 4, 4, 5, 4, 4]",35,31,9,12,train
17114,57466,image08992.jpg,269.0,553.0,1006.0,1006.0,794.4514770510001,970.220703125,569.8803100590001,404.43121337900004,-1.53579115868,1.0,0.0,0.0,3.181818182,0.428205,0.488701,4.75,0.0,0.0,-0.008835937827825548,-0.0616972222924232,-0.0592179670929909,"[4, 5, 3, 3, 4, 4, 4, 5, 4, 5, 4, 6, 3, 4, 6, 6, 2, 5, 2, 1, 3, 3, 2, 3, 4, 6, 5, 2, 2, 3, 4, 6, 5, 4, 4, 1, 3, 1, 3, 3, 6, 2, 3, 3, 3, 1, 5, 2, 2, 5, 5, 4, 4, 2, 2, 4, 3, 2, 5, 3, 2, 5, 5, 4, 3]","[7, 5, 1, 1, 5, 5, 5, 3, 7, 5, 1, 3, 3, 3, 3, 3, 6, 6, 3, 5, 6, 6, 3, 4, 3, 2, 5, 6, 3, 2, 3, 2, 3, 5, 1, 3, 3, 4, 5, 2, 3, 5, 5, 3, 3, 3, 6, 6, 5, 5, 1, 5, 6, 4, 5, 3, 5, 3, 5]","[3, 2, 5, 3, 5, 3, 2, 2, 3, 4, 3]","[5, 6, 5, 5, 5, 4, 6, 4, 4, 5, 5, 5, 4, 4, 5, 4]",65,59,11,16,train
14996,55192,image00299.jpg,341.0,193.0,324.0,324.0,497.748565674,319.206237793,186.322113037,132.228607178,-1.51798200607,0.0,0.0,0.0,3.4,0.307018,0.347222,4.473684211,0.0,0.0,-0.0488844066858292,0.0252647139132023,-0.108090937137604,"[4, 5, 1, 4, 3, 1, 3, 1, 3, 5, 3, 5, 2, 6, 1, 6, 3, 3, 4, 3, 1, 2, 2, 6, 1, 3, 4, 2, 5]","[3, 2, 6, 3, 4, 1, 4, 2, 3, 6, 2, 6, 3, 3, 1, 1, 5, 2, 4, 3, 5, 2, 4, 7, 3, 3, 5, 1, 5, 4, 7]","[3, 2, 2, 3, 3, 2, 4, 4, 5, 3, 4, 4, 3, 5, 4]","[3, 5, 5, 6, 5, 5, 3, 4, 4, 5, 3, 6, 5, 4, 5, 6, 4, 4, 3]",29,31,15,19,train
14207,54352,image65993.jpg,210.0,136.0,146.0,146.0,271.563812256,194.392120361,86.5825424194,61.44567871090001,-1.39178109169,0.0,0.0,0.0,6.083333333,0.392157,0.431373,4.846153846,0.0,0.0,-0.0684221535921097,0.0126802045851946,-0.5656941533088679,"[4, 6, 4, 3, 2, 2, 3, 1, 4, 3, 1, 5, 3, 1, 4, 1, 3, 5, 1, 1, 2, 3, 6, 2, 6, 5, 2, 6, 7, 3, 2, 4, 4, 4]","[1, 4, 4, 2, 3, 3, 6, 2, 1, 3, 3, 3, 7, 3, 4, 5, 6, 3, 5, 7, 6, 3, 4, 1, 3]","[6, 7, 6, 6, 5, 6, 7, 6, 6, 6, 6, 6]","[5, 5, 5, 4, 6, 5, 6, 5, 5, 5, 4, 3, 5]",34,25,12,13,train
12150,52144,image45828.jpg,359.0,92.0,77.0,77.0,412.984771729,119.455993652,46.450065612799996,32.9645652771,-1.51902210712,0.0,0.0,0.0,4.375,0.318713,0.617816,3.785714286,0.0,0.0,-0.2992607355117801,-0.153168618679047,1.10046541690826,"[2, 2, 5, 2, 2, 3, 3, 4, 3, 3, 4, 1, 4, 4, 1, 3, 2, 2, 2, 1, 4, 2, 7, 1, 3, 4, 5, 1, 4, 4, 1, 4, 5, 4, 2, 3, 2, 2, 1, 4, 1, 3, 2, 2, 5, 3, 2, 3, 5, 2, 2, 1, 3, 3, 5, 4, 4]","[4, 2, 2, 7, 5, 1, 3, 6, 6, 4, 5, 3, 7, 3, 7, 6, 4, 1, 6, 5, 4, 3, 7, 4, 6, 7, 6, 7, 4, 4, 1, 7, 5, 5, 6, 3, 5, 7, 7, 5, 4, 6, 6, 6, 7, 6, 2, 5, 4, 5, 1, 5, 2, 5, 6, 3, 6, 4]","[6, 4, 4, 4, 4, 5, 5, 3]","[5, 3, 3, 5, 6, 4, 4, 4, 4, 3, 3, 3, 3, 3]",57,58,8,14,train
19168,59724,image18509.jpg,216.0,41.0,57.0,57.0,243.821731567,59.8738059998,33.929878234899995,24.079267501799997,-1.4842753410299998,0.0,0.0,0.0,3.294117647,0.442029,0.4814810000000001,3.894736842,0.0,0.0,-0.11117199063301099,-0.40623340010643,-0.0947971642017365,"[4, 6, 4, 4, 3, 4, 4, 5, 2, 2, 4, 4, 2, 4, 3, 4, 4, 1, 3, 5, 5, 6, 1]","[7, 3, 1, 3, 4, 3, 5, 3, 4, 3, 4, 3, 2, 1, 4, 5, 4, 4, 4, 6, 4, 3, 4, 4, 3, 3]","[3, 3, 3, 4, 3, 2, 3, 5, 4, 3, 4, 4, 3, 3, 3, 2, 4]","[4, 4, 6, 5, 6, 5, 3, 5, 3, 1, 3, 5, 5, 2, 4, 4, 4, 2, 3]",23,26,17,19,train
10470,50344,image29513.jpg,-19.0,215.0,269.0,269.0,143.744293213,297.03112793,144.51715087899998,102.560554504,-1.52138602734,1.0,0.0,0.0,2.529411765,0.54902,0.44697,4.352941176,0.0,1.0,0.0114889042451978,-0.207946017384529,0.349646747112274,"[5, 2, 5, 5, 1, 5, 7, 3, 6, 1, 3, 3, 2, 4, 4, 5, 5, 4, 1, 6, 4, 4, 4, 6, 3]","[4, 5, 2, 2, 3, 3, 6, 2, 4, 3, 5, 1, 5, 3, 2, 1, 7, 6, 2, 3, 5, 5, 5, 3, 1]","[3, 4, 3, 2, 2, 2, 2, 3, 2, 3, 3, 1, 3, 1, 3, 3, 3]","[6, 5, 7, 5, 3, 3, 4, 3, 4, 4, 4, 4, 5, 4, 5, 3, 5]",25,25,17,17,train
11393,51334,image39789.jpg,25.0,129.0,233.0,233.0,162.291732788,201.40203857400002,126.784965515,89.9764251709,-1.5652408599899998,0.0,0.0,0.0,2.222222222,0.420635,0.416667,3.375,0.0,0.0,-0.0228567253798246,-0.36097970604896495,0.37086397409439104,"[2, 3, 4, 5, 5, 1, 4, 3, 4, 6, 6, 1, 3, 5, 2, 6, 3, 5, 2, 4, 5, 5, 2, 3, 4, 5, 3, 5]","[3, 1, 2, 4, 4, 5, 2, 1, 6, 7, 4, 5, 3, 2, 5, 6, 1, 2, 5, 2, 1, 4, 4, 1, 7, 2, 6, 2, 3, 3, 1, 1]","[1, 1, 3, 4, 2, 3, 2, 2, 2]","[3, 2, 4, 4, 3, 5, 2, 3, 4, 2, 4, 5, 2, 4, 3, 4]",28,32,9,16,train
16084,56353,image04272.jpg,99.0,81.0,94.0,94.0,148.041183472,114.133804321,54.61019134520001,38.7556190491,1.47112762928,1.0,0.0,0.0,2.6,0.480769,0.5,4.333333333,0.0,0.0,0.0425575375556946,-0.3545311689376829,0.119524359703064,"[2, 4, 3, 4, 4, 4, 1, 3, 6, 1, 4, 3, 3, 5, 6, 5, 2, 5, 6, 4, 5, 7, 5, 6, 5, 3, 6, 4, 4, 4, 5, 1, 7, 6, 2]","[4, 7, 4, 5, 5, 4, 4, 3, 4, 4, 3, 4, 2, 2, 5, 4, 1, 3, 5, 4, 7, 3, 6, 3, 5]","[4, 3, 2, 3, 2, 5, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 3, 2, 2, 2, 4, 4, 2, 3, 3]","[4, 6, 6, 2, 4, 5, 4, 5, 3]",35,25,25,9,train
13918,54058,image63365.jpg,49.0,179.0,184.0,184.0,118.6015625,246.06814575200002,103.68470001200001,73.5826873779,1.37340068817,0.0,0.0,0.0,4.5625,0.355072,0.530864,4.454545455,0.0,0.0,0.198731675744057,-0.0821409970521927,-0.516905963420868,"[3, 6, 1, 1, 2, 3, 1, 3, 5, 4, 7, 5, 2, 3, 5, 3, 5, 1, 1, 4, 1, 4, 4, 4, 4, 4, 2, 3, 2, 1, 3, 6, 3, 1, 2, 6, 3, 1, 1, 2]","[5, 3, 2, 3, 3, 4, 4, 5, 5, 3, 5, 4, 5, 5, 3, 2, 4, 2, 7, 5, 3, 4, 1, 2, 6, 5, 3, 5, 5, 4, 6, 5]","[5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 4, 4]","[5, 6, 4, 5, 4, 7, 3, 2, 4, 4, 5]",40,32,16,11,train
19308,59880,image18831.jpg,928.0,507.0,760.0,760.0,1270.7590332,780.790771484,432.713775635,307.08718872099996,1.45150840282,0.0,0.0,0.0,6.833333333,0.409722,0.654762,5.0,0.0,1.0,0.139844313263893,-0.15044428408145902,-0.0624048374593258,"[3, 2, 4, 1, 7, 2, 4, 5, 2, 4, 5, 4, 4, 2, 1, 1, 2, 3, 2, 2, 1, 1, 4, 2, 1, 5]","[5, 4, 7, 5, 6, 6, 7, 4, 4, 6, 6, 1, 4, 4, 4, 6, 4, 5, 5, 4, 4, 2, 5, 1, 5, 6, 4, 7, 2, 7, 5, 5, 6, 4, 6, 4, 3, 6, 5, 5]","[7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7]","[3, 5, 7, 4, 6, 5, 5, 7, 6, 4, 5, 4, 4]",26,40,18,13,train
19034,59581,image17956.jpg,252.0,13.0,82.0,82.0,291.771270752,37.7272720337,48.3041267395,34.2803459167,1.40928268433,1.0,0.0,0.0,4.176470588,0.298611,0.4814810000000001,4.25,0.0,1.0,0.166753038764,-0.47578632831573503,0.0544501580297947,"[1, 1, 3, 2, 3, 7, 1, 1, 3, 6, 4, 6, 3, 6, 6, 2, 4, 3, 3, 5, 3, 2, 3, 2]","[2, 5, 4, 5, 4, 4, 2, 7, 4, 5, 4, 6, 4, 3, 4, 2, 3, 3, 2, 3, 4, 5, 2, 1, 4, 3, 6, 1, 4, 5, 1, 5, 4]","[3, 4, 4, 4, 5, 5, 3, 4, 6, 4, 5, 3, 4, 5, 4, 4, 4]","[3, 3, 3, 5, 6, 4, 6, 5, 3, 5, 4, 4, 4, 4, 3, 6]",24,33,17,16,train
10221,50069,image26863.jpg,167.0,298.0,111.0,111.0,233.24963378900003,335.882202148,64.9378356934,46.0849189758,-1.5707962513,0.0,0.0,0.0,1.6875,0.395833,0.396825,3.529411765,0.0,0.0,-0.0007851322880014783,-0.188066065311432,0.3442998528480529,"[7, 3, 1, 3, 5, 1, 4, 2, 2, 2, 4, 2, 3, 6, 3, 7, 4, 4, 3, 5, 3, 4, 1, 4, 1, 2]","[4, 4, 1, 4, 2, 4, 3, 3, 7, 3, 4, 3, 4, 2, 3, 5, 5, 4, 2, 6, 3, 3, 4, 5, 1, 4]","[2, 2, 3, 2, 1, 1, 1, 1, 4, 2, 1, 2, 1, 1, 1, 2]","[4, 4, 6, 4, 4, 4, 3, 2, 6, 2, 4, 4, 5, 3, 2, 2, 1]",26,26,16,17,train
